"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"Marshmello;Roddy Ricch",67,167898,0.78,0.828,8,-2.235,1,0.237,0.409,0,0.104,0.786,160.113,4
"Marshmello;Southside;Giggs;SAINt JHN",49,207140,0.878,0.715,10,-2.069,0,0.0342,0.157,0,0.103,0.835,130.013,4
"Marshmello;SVDDEN DEATH",56,171428,0.618,0.98,9,-0.842,0,0.0777,0.0266,0.516,0.328,0.488,140.003,4
"Marshmello;Tyga;Chris Brown",59,137448,0.81,0.625,11,-3.593,0,0.071,0.0407,1.53e-06,0.118,0.598,100.019,4
"Marshmello;Wrabel",56,237472,0.561,0.946,10,-0.899,1,0.128,0.00848,2.05e-05,0.0635,0.3,109.891,4
"Marshmello;YUNGBLUD;blackbear",61,186024,0.628,0.821,1,-2.721,0,0.0525,0.0208,0,0.426,0.465,93.001,4
"Marsimoto",38,30680,0.574,0.25,9,-11.952,1,0.0645,0.0627,0.84,0.141,0.51,58.926,4
"Mart'nália",39.75,226726.25,0.70575,0.562,3.5,-10.21175,1,0.081275,0.6905,0.018406825,0.296,0.738,92.0785,4
"Mart'nália;Luiza Possi",37,237146,0.757,0.413,4,-12.893,1,0.0627,0.823,0,0.115,0.614,100.046,4
"Marta Jobim",50,182750,0.53,0.108,9,-17.208,1,0.0663,0.993,0.94,0.104,0.255,137.02,4
"Marta Sánchez",13,293119.5,0.537,0.8995,5,-4.5725,1,0.0511,0.0487,0.00259,0.101,0.8165,163.529,4
"Marteria",39,210133,0.674,0.69,6,-5.405,1,0.226,0.0188,0,0.0731,0.631,143.746,4
"Martha Reeves & The Vandellas",7.1,162786.6,0.4786,0.832,7.1,-3.1889,0.1,0.05186,0.2499,0.0354026,0.3238,0.7239,146.3973,4
"Marthyan",21.5,162288.5,0.741,0.6755,3.5,-7.8895,1,0.1398,0.72,0.012,0.2485,0.5755,110.045,4
"Marthyan;Kalla Sha",26,153623,0.875,0.578,7,-5.519,1,0.202,0.723,0,0.092,0.471,99.961,4
"Marthyan;Secondgate;Sreeraj",17,167000,0.82,0.402,1,-12.518,1,0.123,0.156,0.282,0.384,0.357,115.075,4
"Marthyan;Sushin Shyam",47.5,132755,0.901,0.709,0,-8.53,1,0.048,0.426,0.0156,0.309,0.903,127.002,4
